,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
0,1,Goalpara,Goalpara,Bengal Gram Dal (Chana Dal),Ordinary (Split),FAQ,6700,7500,7300,16 Jan 2018
1,2,Goalpara,Goalpara,Bengal Gram Dal (Chana Dal),Ordinary (Split),FAQ,6700,7500,7300,15 Jan 2018
2,3,Goalpara,Goalpara,Bengal Gram Dal (Chana Dal),Ordinary (Split),FAQ,6700,7500,7300,14 Jan 2018
3,4,Goalpara,Goalpara,Bengal Gram Dal (Chana Dal),Ordinary (Split),FAQ,6700,7500,7300,13 Jan 2018
4,5,Goalpara,Goalpara,Bengal Gram Dal (Chana Dal),Ordinary (Split),FAQ,6700,7500,7300,12 Jan 2018
5,6,Goalpara,Goalpara,Bengal Gram Dal (Chana Dal),Ordinary (Split),FAQ,6700,7500,7300,11 Jan 2018
6,7,Goalpara,Goalpara,Bengal Gram Dal (Chana Dal),Ordinary (Split),FAQ,6700,7500,7300,10 Jan 2018
7,8,Goalpara,Goalpara,Bengal Gram Dal (Chana Dal),Ordinary (Split),FAQ,6700,7500,7300,09 Jan 2018
8,9,Goalpara,Goalpara,Bengal Gram Dal (Chana Dal),Ordinary (Split),FAQ,6700,7500,7300,08 Jan 2018
9,10,Goalpara,Goalpara,Bengal Gram Dal (Chana Dal),Ordinary (Split),FAQ,6700,7500,7300,04 Jan 2018
10,11,Kamrup,P.O. Uparhali Guwahati,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,5800,6000,5900,16 Jan 2018
11,12,Kamrup,P.O. Uparhali Guwahati,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,5800,6000,5900,12 Jan 2018
12,13,Kamrup,P.O. Uparhali Guwahati,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,5800,6000,5900,11 Jan 2018
13,14,Kamrup,P.O. Uparhali Guwahati,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,5800,6000,5900,10 Jan 2018
14,15,Kamrup,P.O. Uparhali Guwahati,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,5800,6000,5900,09 Jan 2018
15,16,Kamrup,P.O. Uparhali Guwahati,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,5800,6000,5900,08 Jan 2018
16,17,Kamrup,P.O. Uparhali Guwahati,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,5800,6000,5900,06 Jan 2018
17,18,Kamrup,P.O. Uparhali Guwahati,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,5800,6000,5900,05 Jan 2018
18,19,Kamrup,P.O. Uparhali Guwahati,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,5800,6000,5900,04 Jan 2018
