,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
0,1,Yamuna Nagar,Chhachrauli,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,310,470,310,16 Jan 2018
1,2,Yamuna Nagar,Chhachrauli,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,548,549,549,15 Jan 2018
2,3,Yamuna Nagar,Chhachrauli,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,330,417,330,14 Jan 2018
3,4,Yamuna Nagar,Chhachrauli,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,534,534,534,12 Jan 2018
4,5,Yamuna Nagar,Chhachrauli,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,330,389,330,11 Jan 2018
5,6,Yamuna Nagar,Chhachrauli,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,426,426,426,10 Jan 2018
6,7,Yamuna Nagar,Chhachrauli,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,330,521,330,09 Jan 2018
7,8,Yamuna Nagar,Chhachrauli,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,330,500,330,08 Jan 2018
8,9,Yamuna Nagar,Chhachrauli,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,390,550,390,07 Jan 2018
9,10,Yamuna Nagar,Chhachrauli,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,310,422,310,06 Jan 2018
10,11,Yamuna Nagar,Chhachrauli,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,370,418,370,05 Jan 2018
11,12,Yamuna Nagar,Chhachrauli,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,460,603,460,04 Jan 2018
12,13,Yamuna Nagar,Chhachrauli,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,310,542,310,03 Jan 2018
13,14,Yamuna Nagar,Chhachrauli,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,350,531,350,02 Jan 2018
14,15,Kangra,Palampur,Indian Colza(Sarson),Other,FAQ,1500,1700,1500,15 Jan 2018
15,16,Kangra,Palampur,Indian Colza(Sarson),Other,FAQ,1000,1000,1000,10 Jan 2018
16,17,Kangra,Palampur,Indian Colza(Sarson),Other,FAQ,1000,1000,1000,08 Jan 2018
17,18,Kangra,Palampur,Indian Colza(Sarson),Other,FAQ,1000,1000,1000,05 Jan 2018
18,19,Kangra,Palampur,Indian Colza(Sarson),Other,FAQ,1000,1000,1000,02 Jan 2018
19,20,Mohali,Banur,Indian Colza(Sarson),Other,FAQ,800,1000,1000,16 Jan 2018
20,21,Mohali,Banur,Indian Colza(Sarson),Other,FAQ,800,1000,1000,15 Jan 2018
21,22,Mohali,Banur,Indian Colza(Sarson),Other,FAQ,800,1000,1000,14 Jan 2018
22,23,Mohali,Banur,Indian Colza(Sarson),Other,FAQ,800,1000,1000,13 Jan 2018
23,24,Mohali,Banur,Indian Colza(Sarson),Other,FAQ,800,900,900,12 Jan 2018
24,25,Mohali,Banur,Indian Colza(Sarson),Other,FAQ,800,1000,900,11 Jan 2018
25,26,Mohali,Banur,Indian Colza(Sarson),Other,FAQ,800,1000,900,10 Jan 2018
26,27,Mohali,Banur,Indian Colza(Sarson),Other,FAQ,800,1000,900,09 Jan 2018
27,28,Mohali,Banur,Indian Colza(Sarson),Other,FAQ,700,900,800,08 Jan 2018
28,29,Mohali,Banur,Indian Colza(Sarson),Other,FAQ,700,900,800,07 Jan 2018
29,30,Mohali,Banur,Indian Colza(Sarson),Other,FAQ,700,900,800,06 Jan 2018
30,31,Mohali,Banur,Indian Colza(Sarson),Other,FAQ,800,1000,1000,04 Jan 2018
31,32,Mohali,Banur,Indian Colza(Sarson),Other,FAQ,800,1000,1000,03 Jan 2018
32,33,Mohali,Banur,Indian Colza(Sarson),Other,FAQ,800,1000,900,01 Jan 2018
33,34,Mohali,Banur (Kheragaju),Indian Colza(Sarson),Indian Colza(Sarson),FAQ,800,1200,1000,16 Jan 2018
34,35,Mohali,Banur (Kheragaju),Indian Colza(Sarson),Indian Colza(Sarson),FAQ,800,1000,1000,15 Jan 2018
35,36,Mohali,Banur (Kheragaju),Indian Colza(Sarson),Indian Colza(Sarson),FAQ,800,1200,1000,14 Jan 2018
36,37,Mohali,Banur (Kheragaju),Indian Colza(Sarson),Indian Colza(Sarson),FAQ,800,1000,1000,13 Jan 2018
37,38,Mohali,Banur (Kheragaju),Indian Colza(Sarson),Indian Colza(Sarson),FAQ,800,1000,1000,12 Jan 2018
38,39,Mohali,Banur (Kheragaju),Indian Colza(Sarson),Indian Colza(Sarson),FAQ,800,1000,1000,11 Jan 2018
