,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
0,1,Bhabhua,Mohana,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,9500,9600,9500,09 Jan 2018
1,2,Bhabhua,Mohana,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,9400,9500,9400,05 Jan 2018
2,3,Porbandar,Porbandar,Kabuli Chana(Chickpeas-White),Other,FAQ,0,7675,7675,12 Jan 2018
3,4,Amreli,Rajula,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,2450,3555,3003,16 Jan 2018
4,5,Amreli,Rajula,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,3500,3500,3500,15 Jan 2018
5,6,Amreli,Rajula,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,1750,2750,2250,13 Jan 2018
6,7,Amreli,Rajula,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,3075,3630,3353,12 Jan 2018
7,8,Amreli,Rajula,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,3475,3625,3550,11 Jan 2018
8,9,Amreli,Rajula,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,3275,4405,3840,10 Jan 2018
9,10,Amreli,Rajula,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,2775,3515,3145,09 Jan 2018
10,11,Amreli,Rajula,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,3400,3400,3400,08 Jan 2018
11,12,Amreli,Rajula,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,2700,3900,3300,06 Jan 2018
12,13,Amreli,Rajula,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,3675,3955,3815,05 Jan 2018
13,14,Amreli,Rajula,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,3540,3995,3768,04 Jan 2018
14,15,Amreli,Rajula,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,3500,4705,4103,03 Jan 2018
15,16,Amreli,Rajula,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),FAQ,3300,4265,3783,02 Jan 2018
